job_id,company,position,location,job_url,status,saved_at,applied_at,interview_at,rejected_at,round1_pass,round2_pass,round3_pass,notes,created_at,updated_at
,Allstate Canada,"Analyst - Data Analytics, Digital Transformation","Toronto, ON",https://www.linkedin.com/jobs/view/currentJobId=4359186580/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,SearchLabs,BI Developer (Tableau),"Markham, ON",https://www.linkedin.com/jobs/view/currentJobId=4362700402/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,Air Canada,Data & AI Platform Developer,"Toronto, ON",https://www.linkedin.com/jobs/view/currentJobId=4361721427/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,Instacart,"Sr. Decision Scientist, Platform Excellence Ops Analytics",Canada,https://www.linkedin.com/jobs/view/currentJobId=4369995842/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,Axiom Builders,Data Analyst,"Vancouver, BC",https://www.linkedin.com/jobs/view/currentJobId=4368879863/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,Sun Life,"Senior Data Scientist, Data Science COE","North York, ON",https://www.linkedin.com/jobs/view/currentJobId=4369862222/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,Coca-Cola Canada Bottling Limited,Data Scientist,"Toronto, ON",https://www.linkedin.com/jobs/view/currentJobId=4361067075/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,Remitly,Data Scientist II - Core AI/ML,"Burnaby, BC",https://www.linkedin.com/jobs/view/currentJobId=4364051615/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,Tourism Calgary,Data & Insights Strategist,"Calgary, AB",https://www.linkedin.com/jobs/view/currentJobId=4369992032/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,KPMG Canada,"Senior Analyst, Compliance - Project and Data","Windsor, ON",https://www.linkedin.com/jobs/view/currentJobId=4370169037/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,BDO Canada,Senior Data Quality Analyst,"Halifax, NS",https://www.linkedin.com/jobs/view/currentJobId=4369956210/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,Insight Public Sector,Data & AI Consultant I and Developer,"Edmonton, AB",https://www.linkedin.com/jobs/view/currentJobId=4369829828/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,IMCS Group,Senior Business Intelligence Developer,"Toronto, ON",https://www.linkedin.com/jobs/view/currentJobId=4369820769/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,KPMG Canada,"Senior Analyst, Compliance - Project and Data","Vaughan, ON",https://www.linkedin.com/jobs/view/currentJobId=4370144022/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,BDO Canada,Senior Data Quality Analyst,"Calgary, AB",https://www.linkedin.com/jobs/view/currentJobId=4369953298/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,Lime,Senior Data Scientist,Canada,https://www.linkedin.com/jobs/view/currentJobId=4321332534/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,Portage Mutual Insurance,Data Analyst,Canada,https://www.linkedin.com/jobs/view/currentJobId=4369967392/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,Ubisoft,Data Operations Specialist,"Montreal, QC",https://www.linkedin.com/jobs/view/currentJobId=4361492044/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,Confidential,Business Intelligence Analyst,"North York, ON",https://www.linkedin.com/jobs/view/currentJobId=4369823487/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,Dialpad,Analytics Engineer,"Vancouver, BC",https://www.linkedin.com/jobs/view/currentJobId=4369965162/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,SOCi.ai,Senior Analytics Developer,Greater Vancouver Metropolitan Area,https://www.linkedin.com/jobs/view/currentJobId=4369958467/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,The Canadian Resident Matching Service (CaRMS),Junior Data Scientist,Canada,https://www.linkedin.com/jobs/view/currentJobId=4369818532/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,Co-operators,Metrics & Data Reporting Analyst,"Mississauga, ON",https://www.linkedin.com/jobs/view/currentJobId=4369957138/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,Intact,Data Scientist II,"Toronto, ON",https://www.linkedin.com/jobs/view/currentJobId=4360014774/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,Movable Ink,Senior Business Intelligence Analyst,Canada,https://www.linkedin.com/jobs/view/currentJobId=4369597849/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,Homebase,Data & ML Platform Engineer (Hybrid),"Toronto, ON",https://www.linkedin.com/jobs/view/currentJobId=4369925691/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,Omnicom Media,Marketing Data Analyst,"Toronto, ON",https://www.linkedin.com/jobs/view/currentJobId=4369573976/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,"Alexion Pharmaceuticals, Inc.",Partner in Patient Services Data & Reporting,"Mississauga, ON",https://www.linkedin.com/jobs/view/currentJobId=4369921436/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,"Connor, Clark & Lunn Infrastructure","Analyst, Data Analytics & Modelling","Toronto, ON",https://www.linkedin.com/jobs/view/currentJobId=4369939040/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,"Connor, Clark & Lunn Investment Management (CC&L)","Quantitative Data Analyst, Investment Data","Vancouver, BC",https://www.linkedin.com/jobs/view/currentJobId=4318158644/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,BRP,"Analyst, Business Intelligence, Ecomm",Greater Montreal Metropolitan Area,https://www.linkedin.com/jobs/view/currentJobId=4340221270/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,MANDY'S,"ANALYSTE, PERFORMANCE DES RESTAURANTS | ANALYST, RESTAURANT PERFORMANCE","Montreal, QC",https://www.linkedin.com/jobs/view/currentJobId=4369902117/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,RSM Canada,Supervisor – Advanced Analytics and Artificial Intelligence (AI),"Toronto, ON",https://www.linkedin.com/jobs/view/currentJobId=4359220486/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,Wissen Technology,Cognos & Power BI Reporting Developer,"Montreal, QC",https://www.linkedin.com/jobs/view/currentJobId=4369798087/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,"Groupe Lemur, Inc",Data Reporting Analyst,"Montreal, QC",https://www.linkedin.com/jobs/view/currentJobId=4369797280/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
,Societe Generale,V.I.E. Data Scientist (Operational Risk),"Montreal, QC",https://www.linkedin.com/jobs/view/currentJobId=4369783069/,Saved,2026-02-08,,,,0,0,0,,2026-02-08,2026-02-08
